wallet,credit_score
0x007de57773b6eb4ebbf6a740dfde1efdd5629630,436.93
0x007e4e679e14f17d62607418f546e2d97d9e5a61,702.86
0x007e8e7ccdfc45f0a6319a3aa938203126f1d646,656.38
0x007edad4e994b9dc1a1229eb6d4c852d08c6ed33,600.03
0x007f0596cce8ff85fb8091e410aeb5cad529ba4d,676.15
0x007f3da6715efd4b6994b7348b644b64b695d3b1,590.87
0x007f4172d3dcd318d7bd0eec9325ad5e4c2bcc8d,584.54
0x00800d9019001aff6e1eba3312e35e9b22d3f058,676.94
0x0080568c64209a91110f1333057f5e34a0e5b62e,600.32
0x0080a01a45d5e023435dc82970ec2681a5ae050e,445.88
0x0080bdce06d56ce3911ad7f73e4c3bbd577e267b,744.17
0x008160cbce03ce9c914d9734c821fe96899185bc,675.67
0x00817ccd987f38563a46027758376123c870d263,600.0
0x008183a11eacc113e85007bd14bfbd6da3f687f9,798.33
0x0081b2ec2af3f22528d6581e6554aaba5141e985,590.56
0x0082a12e195b8f31660830132e72716225382075,755.87
0x0082c6c4decefca6626b5e66929fb2ceca7c994f,656.79
0x0083e235216ffe303c9db58e2eca7d69f99afd2d,691.93
0x008426fc298852d92a4a2b3607aa384a51c4b65a,705.24
0x008450344d3518a45a2d4fd0425eea6a5c08033d,615.99
0x00847f96c75f1fd63f6d625a3342ba0123b20200,716.78
0x0084ac988560b4724413941a0a89f7ea57da4fe5,695.22
0x00850f22f6d422d8987f796a9f23fd9e45bda47e,607.89
0x00861fefcfef0a542b0a6c90ce1ee575e257a6c7,812.24
0x00868d173cf4463514ce9cc871f06edb1f3b16c4,635.33
0x0086bf55d1e7225d1faf4f17ccd48983b0146cc6,447.2
0x0087899a5bf67ca95147d3ad6b76907288972055,656.99
0x0088092651027c8566be1011c29f3a71eebe5efe,709.64
0x0088b7a2ee442d30dc18b5fe9e3227af18120b02,420.49
0x0088ed232bae631195655bb31da1ee5a61ebd5ab,601.71
0x0089b988ca94bf62cd88a5af10e5cfc9432ef568,660.7
0x0089ca86f688fd3c2efaf737a28f52b0ce1ef380,601.64
0x008a34511b9808c41237d7568e409141ab10796b,464.94
0x008a5ff6e91ba1eef94655853c3690d15d1153bc,657.39
0x008a86b4dbbe4fe8a7f2145cdc676ffff95bdf23,660.71
0x008ae504ac6c0c89d32009c02b3a92e57fec188b,567.25
0x008af94ec70860b667caec3a2e2de07597db90c6,788.84
0x008b1ffe244bf31896c833bff4ad9009e7a0f4eb,516.4
0x008b24d362ca3f7dd93ab9902927eb3af50216d1,679.14
0x008b61e1a118db01bc5e253da985c5f11fe04b4b,435.81
0x008bddb9cca2d92deee55a50d0f358eaf4b7f076,621.82
0x008bf5ef7e1b1170f0f7471b93f62b5cac55316f,666.79
0x008c2b6e55284a2ea09c62d50a7da4c7c151dec9,680.11
0x008c3eb2cfd1f9ab110485c75fea549926f28b47,617.07
0x008c9ce69f80e890d3fb27d9d6c94c570a53889c,601.64
0x008d2d57867efeba246e3bd8034ceb8c8f596950,608.43
0x008d399b5936b8fc3d6ce86ad53ac001217e3978,417.66
0x008dfd01cba93125fc08f41e86cfa02b2d203005,624.59
0x008e2fd504a73089ccd6fc0584665905f411ca3b,657.19
0x008f1edc31890f9c66d4b9cf24c78dd651502274,711.31
0x008f96aab23e71c98398e6c5dabf2ee2ded9f15d,706.32
0x008faa257fd02ff7b9ed19e4bd16b2fc4f71a98f,601.61
0x0090ca02bba03a52241bfb641cc575bd4990432c,608.02
0x0090ca7a7e7923d6b67319c268f3eef1b5bd5d3c,469.48
0x0090fb1887c411fe826cba2832a004e5d9882284,661.35
0x00913b0179ae1afaf4ec5a3c265611008560f63f,662.17
0x00916ef0f7c59f94a28ec2a332b95d4c089a8d48,417.23
0x00917065867c9cb16d75abfbfa76aa69bd92ab75,407.02
0x0091c05a50ef584f09c5c8b813a207198643788a,600.0
0x0092a80c90069d5a243caa28fff0eddd5c03696d,436.71
0x0092f6fe26d0c54f9e60326e8d93cf6770cdf494,655.19
0x009330f669003eada06b676b6e5cb77415471e7e,688.95
0x0093660a2f58c0c38ce2ce0f894c86f9011478ea,547.3
0x00940bbff7ff7778b466fd26fe2932051885c1ce,613.96
0x0094cb1657ee9da34b93845aa142eaa59169ee05,525.85
0x0094ccf467b9b767df3203796250014a7174a87d,400.22
0x0095afc96094160cea6a5e00b5858369f25f3d74,497.12
0x0095d0862b889c5b8606962cb834a3634a8745b7,649.29
0x0096e6df996e6cb590c5aaa40ce00dc449f9659c,601.64
0x0096ecc56a1bb6c4dea4233dec48fb5f6d7375b4,632.16
0x0097f65bdc45149e5ffac00e4c51a5b073af7245,628.14
0x00980decdab20f78ab79dc28171b68ce238ec327,632.19
